nctid,"search_query","facility",state,city,zip,latitude,longitude
NCT03559972,"Suzanne Bruce and Associates, PA, The Center for Skin Research, Houston, Texas 77056","Suzanne Bruce and Associates, PA, The Center for Skin Research",Texas,Houston,77056,,
NCT00594425,"Suzanne Bruce and Associates, PA, Houston, Texas 77056","Suzanne Bruce and Associates, PA",Texas,Houston,77056,,
NCT00891774,"Susan Taylor, Philadelphia, Pennsylvania 19107",Susan Taylor,Pennsylvania,Philadelphia,19107,,
NCT05590585,"SUNY Downstate Medical Center, Brooklyn, New York 11203",SUNY Downstate Medical Center,New York,Brooklyn,11203,,
NCT03007589,"Sun Protection Foundation, Waimea, Hawaii 98108",Sun Protection Foundation,Hawaii,Waimea,98108,,
NCT03007589,"Sun Protection Foundation, Seattle, Washington 98108",Sun Protection Foundation,Washington,Seattle,98108,,
NCT03007589,"Sun Protection Foundation, San Diego, California 98108",Sun Protection Foundation,California,San Diego,98108,,
NCT04540900,"Steve Yoelin, MD Medical Associates, Inc., Newport Beach, California 92663","Steve Yoelin, MD Medical Associates, Inc.",California,Newport Beach,92663,,
NCT06724900,"Steve Yoelin Medical Associates, Newport Beach, California 92663","Steve Yoelin Medical Associates",California,Newport Beach,92663,,
NCT03097835,"Steve Yoelin MD & Associates, Newport Beach, California 92663",Steve Yoelin MD & Associates,California,Newport Beach,92663,,
NCT02288858,"Stephens Associates Inc., Richardson, Texas 75081",Stephens Associates Inc.,Texas,Richardson,75081,,
NCT04911374,"Stephens and Associates, Richardson, Texas 75081",Stephens and Associates,Texas,Richardson,75081,,
NCT02755545,"Stephens & Associates, Inc. Texas Research Center, Richardson, Texas 75081","Stephens & Associates, Inc. Texas Research Center",Texas,Richardson,75081,,
NCT03719742,"Stephens & Associates, Inc, Richardson, Texas 75231","Stephens & Associates, Inc",Texas,Richardson,75231,,
NCT03243981,"Stanford University, Redwood City, California 94063",Stanford University,California,Redwood City,94063,,
NCT01097902,"Stanford University School of Medicine, Stanford, California 94305",Stanford University School of Medicine,California,Stanford,94305,,
NCT01094574,"Stanford University School of Medicine, Stanford, California 94305",Stanford University School of Medicine,California,Stanford,94305,,
NCT00186563,"Stanford University School of Medicine, Stanford, California 94305",Stanford University School of Medicine,California,Stanford,94305,,
NCT00541931,"Stanford University School of Medicine, Stanford, California 94305",Stanford University School of Medicine,California,Stanford,94305,,
NCT03072485,"Stanford Dermatology, Redwood City, California 94603",Stanford Dermatology,California,Redwood City,94603,,
NCT01451476,"Stanford Dermatology, Redwood City, California 94603",Stanford Dermatology,California,Redwood City,94603,,
NCT02749786,"Stanford Dermatology, Redwood City, California 94603",Stanford Dermatology,California,Redwood City,94603,,
NCT02787616,"Stanford Dermatology, Redwood City, California 94603","Stanford Dermatology",California,Redwood City,94603,,
NCT05171894,"St. Luke's University Health Network, Bethlehem, Pennsylvania 18015","St. Luke's University Health Network",Pennsylvania,Bethlehem,18015,,
NCT03810833,"St. Louis Clinical Trials, St Louis, Missouri 63141",St. Louis Clinical Trials,Missouri,St Louis,63141,,
NCT01609530,"St. Joseph Mercy Hospital, Ypsilanti, Michigan 48197",St. Joseph Mercy Hospital,Michigan,Ypsilanti,48197,,
NCT01147172,"St Luke's Roosevelt, New York, New York 10025",St Luke's Roosevelt,New York,New York,10025,,
NCT02217228,"Spokane Dermatology Clinic, Spokane, Washington 92204",Spokane Dermatology Clinic,Washington,Spokane,92204,,
NCT02217228,"Spencer Dermatology, St. Petersburg, Florida 33716",Spencer Dermatology,Florida,St. Petersburg,33716,,
NCT01026662,"SouthWestern Medical Center, Dallas, Texas 75390-8843","SouthWestern Medical Center",Texas,Dallas,75390-8843,,
NCT06357221,"Southeast Dermatology Specialists, LLC, Douglasville, Georgia 30135","Southeast Dermatology Specialists, LLC",Georgia,Douglasville,30135,,
NCT06357221,"Southeast Dermatology Specialists, LLC, Columbus, Georgia 31904","Southeast Dermatology Specialists, LLC",Georgia,Columbus,31904,,
NCT00992277,"South Dermatology Institute, Tustin, California 92780",South Dermatology Institute,California,Tustin,92780,,
NCT01347879,"Somerset Skin Centre, Troy, Michigan 48084",Somerset Skin Centre,Michigan,Troy,48084,,
NCT06351358,"Somenek + Pittman MD: Advanced Plastic Surgery, Washington D.C., District of Columbia 20037","Somenek + Pittman MD: Advanced Plastic Surgery",District of Columbia,Washington D.C.,20037,,
NCT05372419,"Solutions Through Advanced Research, Jacksonville, Florida 32256",Solutions Through Advanced Research,Florida,Jacksonville,32256,,
NCT01257555,"Solta Medical, Hayward, California 94545",Solta Medical,California,Hayward,94545,,
NCT00594425,"Solano Clinical Research, Vallejo, California 94589",Solano Clinical Research,California,Vallejo,94589,,
NCT01518907,"SNBL Clinical Pharmacology Center, Inc, Baltimore, Maryland 21201","SNBL Clinical Pharmacology Center, Inc",Maryland,Baltimore,21201,,
NCT04829227,"SLSS, a Division of Schweiger Dermatology Group Research Office, Hackensack, New Jersey 07601","SLSS, a Division of Schweiger Dermatology Group Research Office",New Jersey,Hackensack,07601,,
NCT02642627,"SKIP",Call Suneva for Info,Texas,Houston,77494,,
NCT02872220,"SKIP",nan,Florida,Pinellas Park,33781,,
NCT02695303,SKIP,nan,New Jersey,Union,07083,,
NCT02815202,SKIP,nan,New Jersey,Union,07083,,
NCT04749459,"SKIP","GSK Investigational Site",New Jersey,Fairfield,07004,,
NCT02803320,"SKIP","nan",Florida,St. Petersburg,33714,,
NCT02877511,"SKIP",nan,Florida,St. Petersburg,33714,,
NCT02930772,"SKIP",nan,New Jersey,Union,07083,,
NCT02822300,"SKIP",nan,New Jersey,Union,07083,,
NCT02643628,"SKIP",Call Suneva for Info,Tennessee,Nashville,37203,,
NCT05089708,SKIP,Galderma Investigational Site #8636,California,Fountain Valley,92708,,
NCT05089708,SKIP,Galderma Investigational Site #8224,California,Fremont,94538,,
NCT05089708,SKIP,Galderma Investigational Site #8358,California,San Diego,92108,,
NCT05089708,SKIP,Galderma Investigational Site #9955,California,San Diego,92123,,
NCT05089708,SKIP,Galderma Investigational Site #7012,Florida,Lutz,33549,,
NCT05089708,SKIP,Galderma Investigational Site #8184,Florida,Maitland,32751,,
NCT05089708,SKIP,Galderma Investigational Site #8764,Florida,Tampa,33613,,
NCT05089708,SKIP,Galderma Investigational Site #9950,Indiana,Evansville,47714,,
NCT05089708,SKIP,Galderma Investigational Site #9952,Louisiana,Baton Rouge,70808,,
NCT05089708,SKIP,Galderma Investigational Site #8606,Louisiana,New Orleans,70115,,
NCT05089708,SKIP,Galderma Investigational Site #8012,Maryland,Glenn Dale,20769,,
NCT05089708,SKIP,Galderma Investigational Site #9948,Maryland,Hyattsville,20782,,
NCT05089708,SKIP,Galderma Investigational Site #8554,Michigan,Detroit,48202,,
NCT05089708,SKIP,Galderma Investigational Site #8108,Nevada,Las Vegas,89148,,
NCT05089708,SKIP,Galderma Investigational Site #8620,New York,New York,10025,,
NCT05089708,SKIP,Galderma Investigational Site #9956,New York,New York,10025,,
NCT05089708,SKIP,Galderma Investigational Site #9949,New York,New York,10155,,
NCT05089708,SKIP,Galderma Investigational Site #9953,Oklahoma,Tulsa,74133,,
NCT05089708,SKIP,Galderma Investigational Site #8207,Tennessee,Nashville,37215,,
NCT05089708,SKIP,Galderma Investigational Site #9920,Texas,Arlington,76011,,
NCT05089708,SKIP,Galderma Investigational Site #8329,Texas,San Antonio,78229,,
NCT05089708,SKIP,Galderma Investigational Site #8433,Texas,San Antonio,78229,,
NCT02995109,SKIP,nan,New Jersey,Union,07083,,
NCT02822339,"SKIP",nan,New Jersey,Union,07083,,
NCT05210582,"SKIP",CLINUVEL Investigational site,Michigan,Detroit,48202,,
NCT02760563,"SKIP",nan,New Jersey,Union,07083,,
NCT03224598,SKIP,Aclaris Investigational Site,District of Columbia,Washington D.C.,20037,,
NCT03224598,"SKIP","Aclaris Investigational Site",New York,New York,10155,,
NCT03502434,"SKIP",Research Site,Virginia,Lynchburg,24503,,
NCT05124899,SKIP,GSK Investigational Site,North Carolina,Winston-Salem,27101,,
NCT02823483,"SKIP",nan,New Jersey,Piscataway,08854,,
NCT01012388,SKIP,nan,California,Los Angeles,nan,,
NCT01012388,SKIP,nan,Maryland,Chevy Chase,nan,,
NCT01012388,SKIP,nan,Michigan,Ypsilanti,nan,,
NCT01012388,SKIP,nan,New York,New York,nan,,
NCT01012388,SKIP,nan,Pennsylvania,Philadelphia,nan,,
NCT02741466,"SKIP",nan,New Jersey,Union,07083,,
NCT04531527,SKIP,nan,New Jersey,Fairfield,07004,,
NCT02739802,"SKIP",nan,New Jersey,Union,07083,,
NCT02801929,"SKIP",nan,New Jersey,Union,07083,,
NCT02962869,SKIP,nan,New Jersey,Piscataway,08854,,
NCT02751541,"SKIP",nan,New Jersey,Piscataway,08854,,
NCT02936557,"SKIP",nan,New Jersey,Union,07083,,
NCT02815228,"SKIP",nan,New Jersey,Union,07083,,
NCT02994992,"SKIP",nan,New Jersey,Union,07083,,
NCT02891044,SKIP,nan,New Jersey,Union,07083,,
NCT02995031,"SKIP",nan,New Jersey,Union,07083,,
NCT01113606,SKIP,Suite 135,California,Oxnard,93030,,
NCT01113606,"SKIP",Suite 175,California,Rancho Santa Margarita,92688,,
NCT01113606,"SKIP",nan,New York,New York,nan,,
NCT02995148,"SKIP",nan,New Jersey,Union,07083,,
NCT01984775,"SKIP","GSK Investigational Site",Maryland,Baltimore,21225,,
NCT02872246,"SKIP",nan,New Jersey,Union,07083,,
NCT02776852,"SKIP",nan,New Jersey,Union,07083,,
NCT02803099,"SKIP",nan,New Jersey,Union,07083,,
NCT02936544,"SKIP",nan,New Jersey,Union,07083,,
NCT05078827,SKIP,CBCC Global Research Site 005,California,Bakersfield,93309,,
NCT05078827,SKIP,CBCC Global Research Site 006,California,Cerritos,90703,,
NCT05078827,SKIP,CBCC Global Research Site 004,Florida,Lauderdale Lakes,33308,,
NCT05078827,SKIP,CBCC Global Research Site 001,Florida,Miami,33015,,
NCT05078827,SKIP,CBCC Global Research Site 002,Florida,Miami,33175,,
NCT05078827,SKIP,CBCC Global Research Site 003,Florida,Miramar,33027,,
NCT05078827,"SKIP",CBCC Global Research Site 007,Pennsylvania,Sugarloaf,18249,,
NCT02760576,"SKIP","nan",New Jersey,Union,07083,,
NCT01559922,SKIP,Call Suneva for Info,California,Beverly Hills,90210,,
NCT01559922,SKIP,Call Suneva for Info,California,Los Angeles,90036,,
NCT01559922,SKIP,Call Suneva for Info,California,San Diego,92121,,
NCT01559922,SKIP,Call Suneva for Info,California,Santa Monica,90404,,
NCT01559922,SKIP,Call Suneva for Info,Florida,Miami Beach,33137,,
NCT01559922,SKIP,Call Suneva for Info,Florida,St. Petersburg,33716,,
NCT01559922,SKIP,Call Suneva for Info,Maryland,Glenn Dale,20769,,
NCT01559922,SKIP,Call Suneva for Info,Massachusetts,Wellesley,02481,,
NCT01559922,SKIP,Call Suneva for Info,Texas,Houston,77056,,
NCT01559922,"SKIP",Call Suneva for Info,Washington,Spokane,99204,,
NCT02930746,"SKIP","nan",New Jersey,Union,07083,,
NCT02754102,SKIP,nan,New Jersey,Piscataway,08854,,
NCT02822274,"SKIP","nan",New Jersey,Union,07083,,
NCT02930785,"SKIP",nan,New Jersey,Union,07083,,
NCT02995135,"SKIP",nan,New Jersey,Union,07083,,
NCT02815241,"SKIP",nan,New Jersey,Union,07083,,
NCT02779829,"SKIP",nan,New Jersey,Union,07083,,
NCT02936583,"SKIP",nan,New Jersey,Union,07083,,
NCT02930798,"SKIP",nan,New Jersey,Union,07083,,
NCT02825030,"SKIP",nan,New Jersey,Union,07083,,
NCT02776501,"SKIP","nan",New Jersey,Union,07083,,
NCT03327311,"SKIP",Call Suneva for Info,California,Danville,94506,,
NCT02751463,"SKIP","nan",New Jersey,Piscataway,08854,,
NCT02995161,"SKIP",nan,New Jersey,Union,07083,,
NCT02779270,"SKIP",nan,Florida,St. Petersburg,33714,,
NCT02803021,"SKIP",nan,New Jersey,Union,07083,,
NCT02757014,"SKIP",nan,New Jersey,Union,07083,,
NCT02823496,"SKIP","nan",New Jersey,Piscataway,08854,,
NCT02825017,"SKIP",nan,New Jersey,Union,07083,,
NCT02756988,SKIP,nan,New Jersey,Union,07083,,
NCT02779842,SKIP,nan,New Jersey,Union,07083,,
NCT02885805,"SKIP","nan",New Jersey,Union,07083,,
NCT02930759,"SKIP",nan,New Jersey,Union,07083,,
NCT00714714,"SKIP","A J&J CPPW Investigational Site",Pennsylvania,Broomall,19008,,
NCT02751489,"SKIP",nan,New Jersey,Piscataway,08854,,
NCT02857725,"SKIP",nan,New Jersey,Union,07083,,
NCT02032407,"SKIP",nan,District of Columbia,Washington D.C.,nan,,
NCT01973166,"SKIP",nan,California,Brisbane,94005,,
NCT02750475,"SKIP","nan",New Jersey,Piscataway,08854,,
NCT02995044,"SKIP",nan,New Jersey,Union,07083,,
NCT02823509,"SKIP",nan,New Jersey,Union,07083,,
NCT00219466,"SKIP","JJCPPW Investigational Site",Florida,St. Petersburg,33710,,
NCT06109649,SKIP,CLINUVEL site,Alabama,Birmingham,00000,,
NCT06109649,SKIP,CLINUVEL site,California,Fresno,00000,,
NCT06109649,SKIP,CLINUVEL site,California,Los Angeles,00000,,
NCT06109649,SKIP,CLINUVEL site,California,Palo Alto,00000,,
NCT06109649,SKIP,CLINUVEL site,California,San Diego,00000,,
NCT06109649,SKIP,CLINUVEL Site,District of Columbia,Washington D.C.,00000,,
NCT06109649,SKIP,CLINUVEL site,Florida,Miami,00000,,
NCT06109649,SKIP,CLINUVEL site,Florida,Miramar,00000,,
NCT06109649,SKIP,CLINUVEL site,Georgia,Alpharetta,00000,,
NCT06109649,SKIP,CLINUVEL site,Georgia,Augusta,00000,,
NCT06109649,SKIP,CLINUVEL site,Illinois,Chicago,00000,,
NCT06109649,SKIP,CLINUVEL site,Louisiana,Baton Rouge,00000,,
NCT06109649,SKIP,CLINUVEL site,Michigan,Detroit,00000,,
NCT06109649,SKIP,CLINUVEL site,Minnesota,Minneapolis,00000,,
NCT06109649,SKIP,CLINUVEL site,Minnesota,Roseville,00000,,
NCT06109649,SKIP,CLINUVEL Site,Missouri,Lee's Summit,00000,,
NCT06109649,SKIP,CLINUVEL site,New York,Rochester,00000,,
NCT06109649,SKIP,CLINUVEL site,Ohio,Cleveland,00000,,
NCT06109649,SKIP,CLINUVEL site,Pennsylvania,Philadelphia,00000,,
NCT06109649,SKIP,CLINUVEL Site,South Carolina,Charleston,00000,,
NCT06109649,SKIP,CLINUVEL site,Tennessee,Thompson's Station,00000,,
NCT06109649,SKIP,CLINUVEL Site,Texas,Cedar Park,00000,,
NCT06109649,SKIP,CLINUVEL site,Texas,Dallas,00000,,
NCT06109649,SKIP,CLINUVEL site,Texas,Tyler,00000,,
NCT06109649,"SKIP",CLINUVEL site,Virginia,Charlottesville,00000,,
NCT02803008,"SKIP",nan,New Jersey,Union,07083,,
NCT02751372,"SKIP","nan",New Jersey,Piscataway,08854,,
NCT02052752,SKIP,GSK Investigational Site,North Carolina,High Point,27262,,
NCT02803047,SKIP,nan,New Jersey,Union,07083,,
NCT02891057,"SKIP",nan,New Jersey,Union,07083,,
NCT02717325,"SKIP",nan,New Jersey,Union,07083,,
NCT02751515,"SKIP",nan,New Jersey,Piscataway,08854,,
NCT02822313,"SKIP",nan,New Jersey,Union,07083,,
NCT02995122,SKIP,nan,New Jersey,Union,07083,,
NCT02788162,SKIP,nan,New Jersey,Union,07083,,
NCT02411162,"SKIP",GSK Investigational Site,Illinois,Urbana,61801,,
NCT02774252,SKIP,nan,New Jersey,Union,07083,,
NCT01635855,SKIP,nan,Alabama,Birmingham,nan,,
NCT01635855,SKIP,nan,California,Los Angeles,90069,,
NCT01635855,SKIP,nan,California,Los Angeles,nan,,
NCT01635855,SKIP,nan,California,San Francisco,nan,,
NCT01635855,SKIP,nan,Connecticut,New Haven,nan,,
NCT01635855,SKIP,nan,Louisiana,Metairie,nan,,
NCT01635855,SKIP,nan,Maryland,Glenn Dale,nan,,
NCT01635855,SKIP,nan,New Jersey,Montclair,nan,,
NCT01635855,"SKIP",nan,New York,White Plains,nan,,
NCT03478644,"SKIP",GSK Investigational Site,Indiana,Fort Wayne,46825,,
NCT02750488,"SKIP",nan,New Jersey,Piscataway,08854,,
NCT02831478,"SKIP",nan,Florida,St. Petersburg,33714,,
NCT02936570,"SKIP",nan,New Jersey,Union,07083,,
NCT02872233,"SKIP","nan",New Jersey,Union,07083,,
NCT04085809,"SKIP",Sandoz Investigational Site,North Carolina,High Point,27262,,
NCT02995018,"SKIP","nan",New Jersey,Union,07083,,
NCT02857738,"SKIP",nan,New Jersey,Union,07083,,
NCT05109104,"SKIP",GSK Investigational Site,North Carolina,Winston-Salem,27101,,
NCT02803034,"SKIP",nan,New Jersey,Union,07083,,
NCT02682628,"SKIP",nan,New Jersey,Union,07083,,
NCT02842268,"SKIP",nan,Florida,St. Petersburg,33714,,
NCT02802930,"SKIP",nan,Florida,Pinellas Park,33781,,
NCT02750449,"SKIP",nan,New Jersey,Piscataway,08854,,
NCT02803060,"SKIP","nan",New Jersey,Union,07083,,
NCT05085327,"SKIP","GSK Investigational Site",North Carolina,Winston-Salem,27101,,
NCT05419505,SKIP,Endo Clinical Trial Site #6,Arizona,Scottsdale,85255,,
NCT05419505,SKIP,Endo Clinical Trial Site #4,California,Beverly Hills,90210,,
NCT05419505,SKIP,Endo Clinical Trial Site #9,California,Encinitas,92024,,
NCT05419505,SKIP,Endo Clinical Trial Site #10,California,San Diego,92121,,
NCT05419505,SKIP,Endo Clinical Trial Site #7,California,Solana Beach,92075,,
NCT05419505,SKIP,Endo Clinical Trial Site #12,Colorado,Greenwood Village,80111,,
NCT05419505,SKIP,Endo Clinical Trial Site #8,Florida,Coral Gables,33146,,
NCT05419505,SKIP,Endo Clinical Trial Site #13,Florida,Miami,33137,,
NCT05419505,SKIP,Endo Clinical Trial Site #3,Illinois,Chicago,60611,,
NCT05419505,SKIP,Endo Clinical Trial Site #2,Louisiana,Metairie,700006,,
NCT05419505,SKIP,Endo Clinical Trial Site #11,New York,New York,10021,,
NCT05419505,SKIP,Endo Clinical Trial Site #1,Tennessee,Nashville,37215,,
NCT05419505,"SKIP",Endo Clinical Trial Site #5,Texas,Pflugerville,78660,,
NCT02962856,"SKIP",nan,New Jersey,Piscataway,08854,,
NCT02822261,"SKIP",nan,New Jersey,Union,07083,,
NCT02717351,SKIP,nan,New Jersey,Union,07083,,
NCT02822248,"SKIP",nan,New Jersey,Union,07083,,
NCT05027282,"SKIP",Bausch Site 001,Texas,Dallas,75225,,
NCT04029545,"Skintastic, Plano, Texas 75093",Skintastic,Texas,Plano,75093,,
NCT03400202,"SkinMedica Clinical Research and Innovation Center, Irvine, California 92612",SkinMedica Clinical Research and Innovation Center,California,Irvine,92612,,
NCT03302559,"SkinMedica Clinical Research and Innovation Center, Irvine, California 92612",SkinMedica Clinical Research and Innovation Center,California,Irvine,92612,,
NCT03767400,"Skinmedica Clinical Research and Innovation Center, Irvine, California 92612",Skinmedica Clinical Research and Innovation Center,California,Irvine,92612,,
NCT03243617,"Skincare Physicians, Chestnut Hill, Massachusetts 02467",Skincare Physicians,Massachusetts,Chestnut Hill,02467,,
NCT03125824,"SkinCare Physicians, Chestnut Hill, Massachusetts 02467",SkinCare Physicians,Massachusetts,Chestnut Hill,02467,,
NCT02877667,"SkinCare Physicians, Chestnut Hill, Massachusetts 02467",SkinCare Physicians,Massachusetts,Chestnut Hill,02467,,
NCT03228641,"SkinCare Physicians, Chestnut Hill, Massachusetts 02467",SkinCare Physicians,Massachusetts,Chestnut Hill,02467,,
NCT07041489,"Skin Wellness Dermatology, Birmingham, Alabama 35209","Skin Wellness Dermatology",Alabama,Birmingham,35209,,
NCT06602284,"Skin Wellness Dermatology, Birmingham, Alabama 35209",Skin Wellness Dermatology,Alabama,Birmingham,35209,,
NCT06333067,"Skin Wellness Dermatology Associates, Durham, North Carolina 27713",Skin Wellness Dermatology Associates,North Carolina,Durham,27713,,
NCT06148558,"Skin Study Center, KGL LLC, Newtown Square, Pennsylvania 19073","Skin Study Center, KGL LLC",Pennsylvania,Newtown Square,19073,,
NCT01313728,"Skin Study Center, Broomall, Pennsylvania 19008",Skin Study Center,Pennsylvania,Broomall,19008,,
NCT00952523,"Skin Study Center, Broomall, Pennsylvania 19008",Skin Study Center,Pennsylvania,Broomall,19008,,
NCT00919191,"Skin Study Center, Broomall, Pennsylvania 19008","Skin Study Center",Pennsylvania,Broomall,19008,,
NCT04029545,"Skin Specialists, PC, Omaha, Nebraska 68144","Skin Specialists, PC",Nebraska,Omaha,68144,,
NCT05372419,"Skin Specialists, P.C, Omaha, Nebraska 68144","Skin Specialists, P.C",Nebraska,Omaha,68144,,
NCT06415305,"Skin Sciences, PLLC, Louisville, Kentucky 40217","Skin Sciences, PLLC",Kentucky,Louisville,40217,,
NCT04695691,"Skin Research Institute, Coral Gables, Florida 33146",Skin Research Institute,Florida,Coral Gables,33146,,
NCT03421691,"Skin Laser and Surgery Specialists of NY and NJ, New York, New York 10022",Skin Laser and Surgery Specialists of NY and NJ,New York,New York,10022,,
NCT04695691,"Skin Laser & Surgery Specialists, a Division of Schweiger Dermatology, Hackensack, New Jersey 07601","Skin Laser & Surgery Specialists, a Division of Schweiger Dermatology",New Jersey,Hackensack,07601,,
NCT02217228,"Skin Laser & Surgery Specialists of NY & NJ, Hackensack, New Jersey 07601","Skin Laser & Surgery Specialists of NY & NJ",New Jersey,Hackensack,07601,,
NCT02488083,"Skin Laser & Surgery Specialist of NY/NJ, Hackensack, New Jersey 07601","Skin Laser & Surgery Specialist of NY/NJ",New Jersey,Hackensack,07601,,
NCT03430245,"Skin Laser & Surgery Specialist of NY/NJ, Hackensack, New Jersey 07601",Skin Laser & Surgery Specialist of NY/NJ,New Jersey,Hackensack,07601,,
NCT01147172,"Skin Care Research, Inc., Boca Raton, Florida 33486","Skin Care Research, Inc.",Florida,Boca Raton,33486,,
NCT05372419,"Skin Care Research, Inc, Hollywood, Florida 33021","Skin Care Research, Inc",Florida,Hollywood,33021,,
NCT01950065,"Skin Care Physicians, Chestnut Hill, Massachusetts 02467",Skin Care Physicians,Massachusetts,Chestnut Hill,02467,,
NCT02700152,"Skin Care Physicians, Chestnut Hill, Massachusetts 02467",Skin Care Physicians,Massachusetts,Chestnut Hill,02467,,
NCT03290547,"Skin Care Physicians, Chestnut Hill, Massachusetts 02467",Skin Care Physicians,Massachusetts,Chestnut Hill,02467,,
NCT02935660,"Skin Care Physicians, Chestnut Hill, Massachusetts 02467",Skin Care Physicians,Massachusetts,Chestnut Hill,02467,,
NCT01754233,"Skin Care Physicians, Chestnut Hill, Massachusetts 02467",Skin Care Physicians,Massachusetts,Chestnut Hill,02467,,
NCT01754246,"Skin Care Physicians, Chestnut Hill, Massachusetts 02467",Skin Care Physicians,Massachusetts,Chestnut Hill,02467,,
NCT05372419,"Skin Care Physicians of Georgia, Macon, Georgia 31217",Skin Care Physicians of Georgia,Georgia,Macon,31217,,
NCT04540900,"Skin and Cancer Associates, LLP. D/B/A Center for Clinical and Cosmetic Research, Aventura, Florida 33180","Skin and Cancer Associates, LLP. D/B/A Center for Clinical and Cosmetic Research",Florida,Aventura,33180,,
NCT05590585,"Skin and Cancer Associates, LLP, Miami, Florida 33137","Skin and Cancer Associates, LLP",Florida,Miami,33137,,
NCT05171894,"Skin and Cancer Associates (SCA) and the Center for Cosmetic Enhancement (CCE), Aventura, Florida 33180",Skin and Cancer Associates (SCA) and the Center for Cosmetic Enhancement (CCE),Florida,Aventura,33180,,
NCT00027976,"Siteman Cancer Center at Barnes-Jewish Hospital, St Louis, Missouri 63110",Siteman Cancer Center at Barnes-Jewish Hospital,Missouri,St Louis,63110,,
NCT02115646,"Shriners Hospital- Boston, Boston, Massachusetts 02114",Shriners Hospital- Boston,Massachusetts,Boston,02114,,
NCT01452490,"Shoreline Foot and Ankle Center, Westbrook, Connecticut 06498",Shoreline Foot and Ankle Center,Connecticut,Westbrook,06498,,
NCT01452490,"Shoreline Foot and Ankle Center, New London, Connecticut 06320","Shoreline Foot and Ankle Center",Connecticut,New London,06320,,
NCT05089851,"Shino Bay Cosmetic Dermatology and Laser Institute, Fort Lauderdale, Florida 33301",Shino Bay Cosmetic Dermatology and Laser Institute,Florida,Fort Lauderdale,33301,,
NCT02217228,"Shideler Clinical Research Center, Carmel, Indiana 46032",Shideler Clinical Research Center,Indiana,Carmel,46032,,
NCT00702507,"Sheila Fallon Friedlander, MD, San Diego, California 92123","Sheila Fallon Friedlander, MD",California,San Diego,92123,,
NCT05271136,"SGS Stephens, Inc., Richardson, Texas 75081","SGS Stephens, Inc.",Texas,Richardson,75081,,
NCT06629792,"SGS Stephens, inc., Richardson, Texas 75081","SGS Stephens, inc.",Texas,Richardson,75081,,
NCT05045183,"SGS Stephens, Inc. Dallas Research Center, Richardson, Texas 75081","SGS Stephens, Inc. Dallas Research Center",Texas,Richardson,75081,,
NCT05012735,"SGS Stephens Inc., Richardson, Texas 75081",SGS Stephens Inc.,Texas,Richardson,75081,,
NCT06854575,"SGS Phoenix Research Center, Phoenix, Arizona 85029",SGS Phoenix Research Center,Arizona,Phoenix,85029,,
NCT06854575,"SGS Elizabeth Research Center, Elizabeth, New Jersey 07208",SGS Elizabeth Research Center,New Jersey,Elizabeth,07208,,
NCT06854575,"SGS Dallas Research Center, Richardson, Texas 75081",SGS Dallas Research Center,Texas,Richardson,75081,,
NCT05590585,"SF Research Institute, San Francisco, California 94127",SF Research Institute,California,San Francisco,94127,,
NCT03921814,"Sera Collection, Montebello, California 90640",Sera Collection,California,Montebello,90640,,
NCT00992277,"Scripps Health, San Diego, California 92130",Scripps Health,California,San Diego,92130,,
NCT06415435,"Scripps Health, La Jolla, California 92037",Scripps Health,California,La Jolla,92037,,
NCT03322475,"Scripps Clinical Research Services, La Jolla, California 92037",Scripps Clinical Research Services,California,La Jolla,92037,,
NCT02244554,"Scripps Clinic Carmel Valley, San Diego, California 92130",Scripps Clinic Carmel Valley,California,San Diego,92130,,
NCT02468453,"Scripps Clinic - Carmel Valley, San Diego, California 92130",Scripps Clinic - Carmel Valley,California,San Diego,92130,,
NCT06469398,"Schweiger Dermatology PC, Reseach Division, Hackensack, New Jersey 07601","Schweiger Dermatology PC, Reseach Division",New Jersey,Hackensack,07601,,
NCT05372419,"Savin Medical Group, LLC, Miami Lakes, Florida 33014","Savin Medical Group, LLC",Florida,Miami Lakes,33014,,
NCT05123508,"Sanctuary Plastic Surgery, Boca Raton, Florida 33431",Sanctuary Plastic Surgery,Florida,Boca Raton,33431,,
NCT06363240,"Sanctuary Plastic Surgery, Boca Raton, Florida 33431",Sanctuary Plastic Surgery,Florida,Boca Raton,33431,,
NCT05750901,"Sanctuary Plastic Surgery, Boca Raton, Florida 33431",Sanctuary Plastic Surgery,Florida,Boca Raton,33431,,
NCT02711618,"Sanctuary Plastic Surgery, Boca Raton, Florida 33431",Sanctuary Plastic Surgery,Florida,Boca Raton,33431,,
NCT01597323,"Sanctuary Medical Aesthetic Center, Boca Raton, Florida 33431","Sanctuary Medical Aesthetic Center",Florida,Boca Raton,33431,,
NCT01030198,"Sanctuary Medical Aesthetic Center, Boca Raton, Florida 33431","Sanctuary Medical Aesthetic Center",Florida,Boca Raton,33431,,
NCT01912950,"Sadick Research Group, New York, New York 10075",Sadick Research Group,New York,New York,10075,,
NCT02003833,"Sadick Research Group, New York, New York 10075",Sadick Research Group,New York,New York,10075,,
NCT02110108,"Sadick Research Group, New York, New York 10075","Sadick Research Group",New York,New York,10075,,
NCT05372419,"Sadick Research Group, New York, New York 10075",Sadick Research Group,New York,New York,10075,,
NCT03921814,"Sadick Research Group, New York, New York 10075","Sadick Research Group",New York,New York,10075,,
